,epoch,ix,class,acc,err
0,0,42,1,0.216432124376297,1.5304784774780273
1,4,393,1,0.07684558629989624,2.5659573078155518
2,8,386,1,0.403898686170578,0.9065911769866943
3,12,394,1,0.4609999656677246,0.7743573188781738
4,16,386,1,0.6810131072998047,0.384173721075058
5,19,386,1,0.8506392240524292,0.16176724433898926
