,epoch,ind,class,acc,loss
0,0,26,1,0.07528859376907349,0.156682088971138
1,1,26,1,0.27407312393188477,0.18413324654102325
2,2,26,1,0.6330599784851074,0.007167273201048374
3,3,74,0,0.9907767176628113,1.1920928955078125e-07
4,4,27,0,0.9953303933143616,1.1920928955078125e-07
