,epoch,ix,class,acc,err
0,0,322,0,0.1970577836036682,1.624258279800415
1,4,379,0,0.810546875,0.21004609763622284
2,8,360,1,0.9837826490402222,0.01635023206472397
3,12,380,0,0.9907268285751343,0.009316434152424335
4,16,380,0,0.9945647716522217,0.0054499926045536995
5,19,380,0,0.9959084987640381,0.004099894315004349
